term,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,76.12225299145308,0.7157029342575626,106.36012421888253,1.2386180884232716e-154,74.70919934673302,77.53530663617315
C(process)[T.UpgradeA],5.006173199023209,1.0333473698791638,4.844617932891835,2.891393041499728e-06,2.9659757967527156,7.046370601293702
C(process)[T.UpgradeB],7.198312374734535,1.0409202221993479,6.915335316980687,9.605827665850379e-11,5.143163452692694,9.253461296776376
C(shift)[T.Night],-3.326345299145304,1.0242939043690733,-3.2474520105576614,0.0014090551447804394,-5.348667921497993,-1.304022676792615
C(shift)[T.Swing],-1.284586324786317,0.8313922826073954,-1.5451025366240154,0.12422573432295252,-2.9260521325927398,0.35687948302010586
C(plant)[T.Plant2],-0.8727555555555512,0.7590474222358117,-1.1498037276574982,0.25187853385490766,-2.3713867266270046,0.6258756155159021
C(process)[T.UpgradeA]:C(shift)[T.Night],3.305552442002436,1.4842731617919014,2.2270512780893914,0.02728880833731124,0.37506620163801907,6.236038682366853
C(process)[T.UpgradeB]:C(shift)[T.Night],-0.31834828972076545,1.387644284706685,-0.22941635203582214,0.8188277519777746,-3.0580545564189925,2.4213579769774616
C(process)[T.UpgradeA]:C(shift)[T.Swing],-0.6868422466422386,1.2856076933312672,-0.534254928781962,0.593879944065614,-3.225091776981804,1.851407283697327
C(process)[T.UpgradeB]:C(shift)[T.Swing],-0.8986470769932637,1.2698973529623707,-0.7076533192993373,0.4801529216072149,-3.40587877485588,1.6085846208693524
C(process)[T.UpgradeA]:C(plant)[T.Plant2],-2.225615277777772,1.1384190704303874,-1.9550052661506823,0.052261853500865346,-4.473261807771712,0.02203125221616764
C(process)[T.UpgradeB]:C(plant)[T.Plant2],-0.9166119248612006,1.0868930905315084,-0.8433321849649099,0.4002562458595391,-3.062527736412002,1.2293038866896007
